network,nodes,edges,serial,mpi2,mpi4
harveyaug17,2399,278285,0:09:11.524049,0:02:21.602264,0:02:00.054396
harveyaug18,2388,264195,0:06:44.894645,0:02:12.371372,0:01:40.111266
harveyaug19,9284,3700389,2:38:33.637601,2:00:26.023454,1:00:53.238650
harveyaug23,3770,538170,0:23:39.395493,0:07:01.488704,0:05:07.126737
harveyaug24,7416,2609275,1:28:35.820521,1:03:18.299423,0:34:23.952721
harveyaug26,9527,2781035,2:40:08.104782,1:35:04.312310,0:47:54.589698
harveyaug30,9339,3317160,3:20:34.570880,1:44:25.959328,1:01:57.113822
harveysept01,7872,2692637,2:17:42.765042,1:13:48.099531,1:07:03.701495
harveysept02,5433,1388101,0:46:26.790934,0:26:48.821790,0:31:08.229391
harveysept03,6942,3715449,3:36:50.228465,1:29:13.981930,0:47:59.800768
harveysept04,4377,830399,0:19:58.082246,0:10:12.693256,0:07:00.138334
harveysept05,5387,1382905,0:35:33.413529,0:25:39.177593,0:13:51.142097
harveysept06,5498,1970298,1:06:34.190221,0:57:51.423500,0:23:16.175942
harveysept07,4887,1506557,1:12:19.311299,0:40:07.924489,0:23:56.360577
harveysept08,4884,1763567,1:21:09.017753,0:44:51.062199,0:18:09.841281
harveysept09,3375,1024750,1:04:31.851162,0:29:49.704237,0:15:50.745482
harveysept10,6350,7067452,3:15:30.348703,2:33:22.998454
harveysept11,3375,1024750,0:23:59.991143,0:13:23.389876,0:07:35.327574
harveysept12,2612,268175,0:06:38.807834,0:02:27.845919,0:02:46.876684
harveysept13,2215,180372,0:03:19.972119,0:01:14.818371,0:01:21.192061
harveysept14,2454,199143,0:08:35.714732,0:01:29.158696,0:01:50.799743
harveysept15,2802,470701,0:14:05.693069,0:05:11.992986,0:04:41.465846
harveysept16,1529,95781,0:01:28.497134,0:00:32.697333,0:00:24.442489
harveysept17,1462,86359,0:02:30.237701,0:00:33.583979,0:00:43.860583
harveysept18,2418,227561,0:06:42.716658,0:02:06.911125,0:01:45.573613
harveysept19,3982,918952,0:17:34.028372,0:11:08.507249,0:07:26.220959
harveysept20,2996,377036,0:10:40.354663,0:03:34.891876,0:03:01.588818
harveysept21,3008,391830,0:21:21.775816,0:03:44.069946,0:02:56.794642
harveysept22,2597,292439,0:08:19.678149,0:02:17.480015,0:01:34.097395
harveysept24,4507,1034171,0:22:16.394411,0:14:31.687294,0:09:11.776720
harveysept25,2120,202856,0:04:29.172045,0:01:37.211807,0:01:14.980031
bible,1773,9129,0:18:52.954217,0:01:57.616431,0:03:07.774858
caenorhabditis_elegans,453,2040,0:00:11.972359,0:00:01.361661,
david_coperfield,112,423,0:00:04.144149,0:00:00.414875,0:00:00.581217
dnc-corecipient,906,10429,0:06:51.059042,0:01:07.400987,0:01:25.967690
dolphins,62,157,0:00:02.333861,0:00:00.559994,0:00:00.709212
facebook_NIPS,2886,2979,0:00:24.317111,0:00:03.239840,0:00:02.221953
friendships-hamster,1858,12532,0:09:15.049329,0:01:10.296803,0:01:31.290526
infectious,410,2764,0:00:16.093001,0:00:01.912145,0:00:01.393206
PDZBase,210,242,0:00:46.998709,0:00:16.398845,0:00:20.889638
protein,1870,2275,0:16:31.630126,0:08:24.814992,0:10:23.551947
train_bombing,64,241,0:00:05.495319,0:00:00.604871,0:00:00.936076
virgili,1133,5449,0:08:55.525550,0:00:29.491814,0:00:42.052870
zachary_karate_club,34,76,0:00:00.423315,0:00:00.071631,0:00:00.084743
zebra,27,109,0:00:00.181358,0:00:00.038807,0:00:00.137882
